x_image	y_image	clusters	TABULA_MURIS_SENIS_BRAIN_MYELOID_MICROGLIAL_CELL_AGEING	TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_ASTROCYTE_AGEING	TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_ENDOTHELIAL_CELL_AGEING	TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_NEURON_AGEING	TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_OLIGODENDROCYTE_AGEING
18290	10336	2	0.024	0	0.024	0.024	0.024
14527	17914	5	0	0.006	0	0.006	0.006
22211	13612	9	0.012	0	0.014	0.014	0.013
12493	15392	0	0	0	0	0	0
10899	16657	4	0	100	0	100	100
11477	15141	0	0	100	0	100	100
21337	11089	7	100	0	100	100	100
15537	13621	12	100	0	100	100	100
15545	19680	8	0	100	0	100	100
15539	14631	6	100	0	100	100	100
12193	8324	6	100	0	100	100	100
13658	18925	4	0	100	0	100	100
16850	18921	5	0	100	0	100	100
10888	8578	0	0	100	0	100	100
22505	16641	1	0	0.002	0	0.002	0.002
14380	16147	10	100	0	100	100	100
20031	10838	2	100	0	100	100	100
14228	10846	16	0	0	0	0	0
10601	11103	0	0	0.003	0	0.003	0.003
16984	10085	2	100	0	100	100	100
16125	19174	5	0	99.611	0	99.611	99.611
15982	20437	14	0	100	0	100	100
20322	11343	7	100	0	100	100	100
14080	8574	3	100	100	100	100	100
21926	17147	1	0	0.096	0	0.096	0.096
21199	16391	9	0.001	0.002	0.001	0.002	0.002
12338	8071	0	99.999	0	99.999	99.999	99.999
12350	17160	8	0	100	0	100	100
16996	19678	8	0	100	0	100	100
13071	13877	6	0	0	0	0	0
20757	11090	7	100	0	100	100	100
22794	15631	9	0	0.195	0	0.195	0.195
16257	9329	7	100	0	100	100	99.994
15691	20437	14	0	100	0	100	100
20187	19169	1	0.024	99.976	0.024	100	99.976
18869	9325	2	100	0	100	100	5.882
13359	11857	3	0	100	0	100	100
11326	10850	6	100	0	100	100	100
17714	13871	11	100	0	100	100	100
10602	12113	0	0	96.97	0	96.97	96.97
19742	11848	11	100	0	100	100	100
12197	10849	3	1.538	98.462	1.538	100	100
11031	7316	0	0	0	0	0	0
17418	9327	2	99.902	0	99.902	99.902	99.902
21924	16137	1	0	0.002	0	0	0
14673	18166	0	0	100	0	100	100
23522	17397	1	0	100	0	100	100
16851	19931	8	0	100	0	100	100
12933	19178	14	0	100	0	100	100
14813	14379	6	0	0	0	0	0
18582	12355	11	100	0	100	100	100
20611	10333	7	100	0	100	100	100
19450	9829	2	100	0	100	100	100
19754	20432	14	0.003	99.997	0.003	100	100
9583	8832	8	0	100	0	100	100
9589	13376	4	0	100	0	100	100
21628	11089	7	0.003	0	0.003	0.003	0.003
