x_image	y_image	clusters	TABULA_MURIS_SENIS_BRAIN_MYELOID_MICROGLIAL_CELL_AGEING	TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_ASTROCYTE_AGEING	TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_ENDOTHELIAL_CELL_AGEING	TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_NEURON_AGEING	TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_OLIGODENDROCYTE_AGEING
16986	12104	11	100	0	100	100	100
12634	12615	3	0	0	0	0	0
16126	20184	4	0	100	0	100	100
13504	11604	3	0	0	0	0	0
15544	18670	0	0	100	0	100	100
10451	7317	0	0	0	0	0	0
17864	17657	10	0	100	0	100	100
15967	9329	7	100	0	100	100	100
11479	16656	4	0	100	0	100	100
12199	12868	6	100	0	100	100	100
12628	8071	6	100	0	100	100	100
19600	13616	13	100	0	100	100	100
12484	8829	3	100	0.012	100	100	100
13500	8575	3	100	100	100	100	100
15394	14884	6	100	0	100	100	100
12193	7819	0	0	0	0	0	0
15254	19175	8	0	100	0	100	100
11912	14888	0	0	99.951	0	99.951	99.951
20908	15886	9	0	0	0	0	0
16554	14377	12	100	0	100	100	100
17575	18667	5	0	0	0	0	0
16411	15640	12	100	0	100	100	100
19025	17656	1	0	100	0	100	100
11468	8073	6	100	0	100	100	100
13796	13118	6	100	0	100	100	100
18295	14375	12	100	0	100	100	100
11336	17918	14	0	100	0	100	100
8423	9339	15	0	0	100	100	0
9298	13377	4	0	100	0	100	100
17575	18162	5	0	0	0	0	0
23661	12601	15	0	0	0	0	0
13937	10341	3	0	0	0	0	0
11472	11607	6	100	0	100	100	100
9290	7318	4	0	100	0	100	100
15822	9077	7	99.997	0	99.997	99.997	99.997
23378	18155	1	0	99.999	0	99.999	99.999
19894	16645	9	0	0	0	0	0
20039	16392	9	0	0	0	0	0
18441	15132	13	100	0	100	100	0
22654	19418	1	0	0	0	0	0
19602	15130	12	100	0	100	100	100
14808	10845	3	0	0	0	0	0
17280	15133	13	100	0	100	100	100
12636	14130	6	100	0	100	100	100
18873	12354	11	100	0	100	100	100
9732	12114	8	0	100	0	100	100
14374	11603	3	0	0	0	0	0
12199	12363	3	66.667	83.333	66.667	83.333	83.333
21629	12098	7	100	0	100	100	100
11322	7820	6	100	0	100	100	98.462
16413	17659	5	99.517	0.377	99.517	99.894	99.891
11769	16655	8	0	100	0	100	100
9729	10094	0	0	100	0	100	100
20039	16897	9	0	0	0	0	0
13212	10595	16	0	0	0	0	0
8713	9338	4	0	100	0	100	100
16705	19173	5	0	100	0	100	100
22217	17651	1	0.097	0.099	0.097	0.099	0.099
15254	18670	5	0	100	0	100	100
11626	17918	14	0	100	0	100	100
13648	10847	3	0	0	0	0	0
21494	19924	1	0	0	0	0	0
22787	10077	7	4.464	0.372	4.464	4.835	4.835
19749	16897	9	0.001	0.001	0.001	0.001	0.001
19598	12101	11	100	0	100	100	100
15256	20185	14	0	100	0	100	100
20612	11342	7	100	0	100	100	100
15251	16146	10	0	100	0	100	100
20175	10081	2	100	0	100	100	100
18448	20686	15	0	0	0	0	0
15401	19932	4	0	100	0	100	100
8279	10601	15	0	0	100	100	0
19456	14878	12	100	0	100	100	100
14382	17662	5	0	50	0	50	50
13948	18420	8	0	100	0	100	100
20333	19926	1	0	0	0	0	0
13511	17158	0	0	100	0	100	100
17572	16143	12	100	0	100	100	100
15823	10086	7	100	0	100	100	100
14814	14884	6	0	0	0	0	0
21346	17653	1	0	0	0	0	0
22213	14622	9	0.001	66.661	0.001	66.662	66.662
14671	16652	5	0	0.003	0	0.003	0.003
12782	14887	0	0	100	0	100	100
14966	20185	15	0	99.611	0.389	100	99.611
22356	13360	15	98.459	0	98.459	98.466	98.46
22504	15631	1	98.461	98.461	98.461	98.461	98.461
21923	15127	9	99.611	99.608	99.611	99.611	99.611
17571	15133	12	100	0	100	100	100
16416	20184	4	0	100	0	100	100
12194	8829	3	100	0	100	100	100
12203	15898	0	0	0	0	0	0
10604	13628	8	0	100	0	100	100
19752	18917	1	0	100	0	100	100
12774	8323	6	100	0	100	100	100
14235	16400	5	0	5.882	0	5.882	5.882
15537	13116	2	100	0	100	100	100
12206	17917	4	0	100	0	100	100
11329	12869	0	0	0	0	0	0
17429	17910	5	98.465	1.535	98.465	100	99.952
12343	12111	3	0	0	0	100	0
18733	16646	10	0.007	99.999	0.007	99.999	100
11914	16403	8	0	100	0	100	100
17569	14123	11	100	0	100	100	100
12343	11606	3	4.522	96.958	4.522	99.988	99.988
18578	9325	2	99.997	0	99.997	99.997	99.997
11033	8326	0	76.471	4.706	76.471	81.176	81.176
16116	12106	2	100	0	100	100	100
21047	11089	7	100	0	100	100	100
16122	17155	10	0	100	0	100	100
9148	9590	4	0	100	0	100	100
20759	12604	7	100	0	100	100	100
22936	12854	15	0	0	0	0	0
22066	13865	9	2.789	2.677	2.629	2.718	2.718
8280	11611	15	0	0	100	100	0
10452	8326	0	0	0	0	0	0
17424	14376	12	99.988	0	99.988	99.988	99.988
23086	16641	9	0	0	0	0	0
14665	12108	2	15	0	15	15	15
23226	13359	15	0	0	100	100	0
12927	14634	6	100	0	100	100	100
18440	14627	13	100	0	100	100	100
17716	15385	12	100	0	100	100	100
16268	17912	5	0	100	0	100	100
20035	13868	13	100	0	100	100	100
14236	16905	5	0	0	0	0	0
14225	8826	3	100	0	100	100	100
19452	11849	11	99.998	0	99.998	100	99.998
12924	12615	3	0	0.389	0	0.389	0.389
11478	16151	8	0	100	0	100	100
11330	13374	0	0	11.111	0	11.111	11.111
10894	13122	0	0	0	0	0	0
23082	14116	9	0.342	0.031	77.613	77.641	0.333
18003	12860	11	100	0	100	100	100
10310	10599	0	0	0	0	0	0
14820	19428	4	0	100	0	100	100
11030	6306	3	0	100	0	100	100
10021	11609	0	0	99.998	0	99.998	99.998
20474	16139	9	0	0	0	0	0
17130	10842	2	100	0	100	100	100
15976	16397	10	0	100	0	100	100
23660	12096	7	0.024	0	0.024	0.024	0.024
14951	9078	7	0.389	0	0.389	0.389	0
16705	18668	5	0	0.049	0	0.049	0.049
11189	16656	4	0	100	0	100	100
9296	11357	8	0	100	0	100	100
10886	7064	0	0	0.006	0	0.006	0.006
12638	15644	0	0	0.003	0	0.003	0.003
11625	17413	4	0	100	0	100	100
10895	13627	0	0	100	0	100	100
8717	12873	14	0	100	0	100	100
15691	19932	4	0	100	0	100	100
13355	8827	3	100	11.111	100	100	100
15531	9077	7	0	0	0	0	0
23373	14116	9	0	0.009	0	0.009	0.009
9001	7823	14	0	100	0	100	100
19316	18160	5	0	0.775	0	0.775	0.775
16272	20436	4	0	100	0	100	100
21481	9827	7	100	0	100	100	100
21490	16895	1	0	0	0	0	0
14240	19934	14	0	100	0	100	100
19888	12101	11	100	0	100	100	100
22944	18913	1	0	100	0	100	100
16261	12358	2	100	0	100	100	100
23077	10077	7	3.395	0.012	3.395	3.407	3.407
9010	14387	14	0	100	0	100	100
13222	18168	8	0	100	0	100	100
22497	10078	7	0	0.195	0	0.195	0.195
19315	17655	1	0	100	0	100	100
11759	8577	6	100	0	100	100	100
9008	13377	4	0	100	0	100	100
14372	10088	16	0	0	0	0	0
15981	19932	14	0	100	0	100	100
10309	9589	0	0	0	0	0	0
21632	14623	9	0.109	0.097	0.109	0.11	0.11
9881	15396	4	0	100	0	100	100
22361	16894	1	0	99.998	0	99.998	99.998
21339	12604	13	100	0	100	100	100
13367	17916	8	0	100	0	100	100
12786	17411	8	0	100	0	100	100
16262	13368	11	100	0	100	100	100
17712	12356	11	100	0	100	100	100
9877	11861	8	0	100	0	100	100
21774	11846	7	0	0	0	0	0
11322	7315	0	0	0.012	0	0.012	0.012
16407	13115	11	100	0	100	100	100
9146	8076	4	0	100	0	100	100
21345	17148	1	0	0	0	0	0
22645	12349	7	100	0	100	100	100
12207	18422	4	0	100	0	100	100
20618	15382	9	73.492	0.078	73.488	71.289	73.501
10454	9336	0	0	0	0	0	0
18007	16395	12	100	0	100	100	100
8425	11358	14	0	100	0	100	100
17139	17911	5	0.006	5.882	0.006	5.888	5.888
15098	10845	2	0	0	0	0	0
18733	16141	12	100	0	100	100	100
20478	19168	1	0	100	0	100	100
10017	8579	0	0	100	0	100	100
23520	15883	9	0	100	0	100	100
12347	14635	0	0	0	0	0	0
18002	12356	11	99.225	0	99.225	99.225	99.225
15689	18417	5	0	0.024	0	0.024	0.024
11757	7567	0	0	0	0	0	0
16412	16649	10	0	100	0	100	100
21339	12099	7	0.006	0	0.006	0.006	0.006
15248	14126	6	100	0	100	100	100
20036	14373	13	100	0	100	100	100
19311	14626	13	100	0	100	100	100
14384	19176	4	0	100	0	100	100
10023	13123	8	0	100	0	100	100
15543	17660	5	0	100	0	100	100
15977	16902	10	0	100	0	100	100
19023	16141	12	100	0	100	100	100
17565	11094	2	0.049	0	0.049	99.987	0.049
21059	20177	1	0	100	0	100	100
15830	15640	10	100	0	100	100	100
9002	8328	14	0	100	0	100	100
10458	12870	0	0	100	0	100	100
16123	17659	5	0	0	0	0	0
17567	12104	11	100	0	100	100	100
15540	15641	10	100	0	100	100	100
14082	10089	16	0	0	0	0	0
12492	14887	0	0	0	0	0	0
21628	11593	7	0	0	0	0	0
11476	14131	0	0	0	0	0	0
11183	12112	0	0	80	0	80	80
8715	11358	4	0	100	0	100	100
14958	14127	6	100	0	100	100	100
21774	12351	7	100	0	100	100	100
14230	12361	3	0	0	0	0	0
15832	16650	10	0	100	0	100	100
19021	15131	12	100	0	100	100	100
16415	18669	5	0	0	0	0	0
10021	11104	0	0	99.902	0	99.902	99.902
21928	19167	1	0	100	0	100	100
12340	9081	3	100	100	100	100	100
15398	17913	5	0	99.902	0	99.902	99.902
20474	16644	9	0	0	0	0	0
10314	13123	8	0	100	0	100	100
19015	10587	2	33.332	0	33.332	33.333	33.332
22363	18913	1	0	100	0	100	100
18869	9830	2	99.805	0	99.805	99.805	99.805
11328	12364	0	0	100	0	100	100
14529	19429	4	0	100	0	100	100
18152	15637	12	100	0	100	100	100
23088	18660	1	0	96.97	0	96.97	96.97
21050	13109	13	100	0	100	100	100
14083	10594	16	0	0	0	0	0
15828	14126	12	100	0	100	100	100
22062	10836	7	99.611	0	99.611	99.611	99.611
11917	18422	14	0	100	0	100	100
14962	17156	5	0	96.97	0	96.97	96.97
22214	15632	9	99.611	0.012	99.611	99.611	99.611
22357	14369	9	50	50	50	50	50
15538	14126	6	100	0	100	100	100
16551	11853	2	100	0	100	100	100
10310	10094	0	0	5.882	0	5.882	5.882
9436	7570	4	0	100	0	100	100
17570	14628	12	100	0	100	100	100
18727	12102	11	99.997	0	99.997	99.997	99.997
22207	10583	7	100	0	100	100	100
12197	11353	3	50.321	50.26	50.321	99.999	99.999
22943	18408	1	0	100	0	100	100
12488	11858	3	98.461	1.538	98.461	99.999	99.999
8713	9843	4	0	100	0	100	100
19167	15888	12	100	0	100	100	99.805
10606	14637	8	0	100	0	100	100
10027	15648	4	0	100	0	100	100
11621	14384	0	0	0	0	0	0
9300	14892	14	0	100	0	100	100
17856	11598	2	100	0	100	100	100
19597	11596	11	100	0	100	100	100
13659	19430	14	0	100	0	100	100
21633	15128	9	13.528	2.702	13.525	13.53	13.509
17576	19172	5	0	50	0	50	50
22067	14370	9	99.089	88.422	99.089	99.433	99.433
14809	11350	2	0.001	0	0.001	0.001	0.001
13507	14634	10	100	0	100	100	100
16845	15386	6	100	0	100	100	100
16847	16901	10	0	100	0	100	100
17276	11599	2	100	0	100	100	100
23669	19164	1	0	100	0	100	100
22934	11844	7	100	0	100	100	94.118
15824	10591	2	19.28	2.408	19.28	21.686	21.687
9150	11105	4	0	100	0	100	100
22207	10078	7	0	0	0	0	0
20910	17401	1	0	0	0	0	0
13065	8828	3	100	100	100	100	100
16121	16145	10	0.389	99.611	0.389	100	100
19306	10587	2	100	0	100	100	100
16844	14377	12	100	0	100	100	100
22357	13865	9	0.003	0	0.003	0.003	0.003
20620	16896	1	0	0	0	0	0
22655	19923	1	0	100	0	100	100
12637	14635	0	0	94.118	0	94.118	94.118
12198	11858	3	80	80	80	100	80
19887	11596	11	100	0	100	100	100
13939	11856	3	0.002	33.333	0.002	33.335	33.335
11768	16151	8	0	100	0	100	100
10604	13123	0	0	0.003	0	0.003	0.003
19449	9324	2	96.97	3.029	96.97	99.999	99.999
12057	15140	0	0	99.611	0	99.611	99.611
11466	6558	0	0	100	0	100	100
9585	10852	8	0	100	0	100	100
11334	16908	4	0	100	0	100	100
12496	17917	4	0	100	0	100	100
17569	13618	11	100	0	100	100	100
17142	20435	4	0	100	0	100	100
11760	9587	3	100	100	100	100	100
14954	11602	2	0	0	0	0	0
17721	18920	5	0	0	0	0	0
10170	13881	8	0	100	0	100	100
18156	18667	5	0	100	0	100	100
18874	13364	11	100	0	100	100	100
13795	12614	3	100	0	100	100	100
21487	14371	9	22.232	20.141	21.936	23.121	23.121
20466	10585	13	100	0	100	100	99.999
21191	9827	7	100	0	100	100	100
17721	19424	5	0	100	0	100	100
13369	19430	14	0	100	0	100	100
20465	9575	2	100	0	100	100	100
14662	10088	16	0.006	0	0.006	0.006	0.006
13799	15643	6	100	0	100	100	100
13361	13372	6	88.889	0	88.889	88.889	88.889
13213	11100	16	0	0	0	0	0
17713	13366	11	100	0	100	100	100
20768	19673	1	0	50	0	50	50
17274	10589	2	100	0	100	100	100
18587	15889	12	100	0	100	100	100
19606	18665	5	0	99.998	0	99.998	99.998
16845	14882	12	100	0	100	100	100
22360	16389	1	0.362	92.658	0.362	93.014	93.014
17138	16901	10	100	0	100	100	99.976
8572	12620	14	0	100	0	100	100
10456	10851	0	0	0.775	0	0.775	0.775
10889	9083	0	0	99.988	0	99.988	99.988
19605	17655	1	0	100	0	100	100
19455	13868	13	100	0	100	100	100
19457	15383	12	100	0	100	100	100
8861	11610	4	0	100	0	100	100
19752	19422	1	0	100	0	100	100
20332	18916	5	0	100	0	100	100
15105	15894	10	0	100	0	100	100
15543	18165	5	0	0.195	0	0.195	0.195
13071	13372	6	100	0	100	100	100
23375	15630	9	0	99.999	0	99.999	99.999
23230	16388	9	0	100	0	100	100
12630	9586	3	99.225	0.775	99.225	100	100
12352	18674	14	0	100	0	100	100
19163	12859	11	100	0	100	100	100
14237	17410	0	0	0.012	0	0.012	0.012
23369	11086	7	0	0	0	0	0
13358	11352	3	0.003	94.115	0.003	94.118	94.118
17284	17658	10	0	100	0	100	100
15970	11348	2	99.93	0.004	99.93	99.936	99.886
9731	11609	8	0	100	0	100	100
16404	10591	2	99.999	0	99.999	99.999	99.999
19885	9576	2	88.879	0	88.879	88.879	88.879
11041	14384	0	0	0.195	0	0.195	0.195
22066	13360	15	99.726	0.001	99.985	99.989	99.724
18300	17909	10	0	100	0	100	100
21055	16643	1	4.65	0.021	4.65	4.65	4.653
15968	10339	2	0.399	98.802	0.399	99.196	99.201
19897	18664	5	0	100	0	100	100
20907	14876	9	99.889	0.104	99.889	99.986	99.986
11039	12870	0	0	3.03	0	3.03	3.03
13802	18167	8	0	100	0	100	100
22215	16137	1	0	0	0	0	0
18588	16899	10	0	100	0	100	100
12344	12616	3	0	0.389	0	0.389	0.389
11177	7568	0	49.603	0.006	49.603	49.609	49.609
10458	12366	0	0	100	0	100	100
14227	10341	16	0	0	0	0	0
17425	14881	12	100	0	100	100	100
10312	12113	0	0	0	0	0	0
18875	13869	12	100	0	100	100	100
10453	8831	0	0	11.111	0	11.111	11.111
15678	10339	2	100	0	100	100	100
20043	19926	1	0	0	0	0	0
22798	18660	1	0	99.999	0	99.999	99.999
10170	14385	8	0	100	0	100	100
20472	14624	12	100	0	100	100	100
11031	6811	0	0	100	0	100	100
18439	13617	11	100	0	100	100	100
15836	20184	4	0	100	0	100	100
8716	11863	4	0	100	0	100	100
13505	12614	3	0	0	0	0	0
16849	18416	5	0	0.049	0	0.049	0.049
8856	8076	14	0.024	99.975	0.024	100	99.999
18730	14122	12	100	0	100	100	100
8863	13630	14	0	100	0	100	100
14378	14632	10	0	0	0	0	0
20913	19420	1	0	100	0	100	100
19171	18918	1	0.049	99.951	0.049	100	100
20179	13110	13	100	0	100	100	100
15969	10844	2	100	0	100	100	100
14811	12865	2	100	0	100	100	100
19893	15635	9	100	0	100	100	100
20323	12353	7	100	0	100	100	100
16849	17911	5	0	0	0	0	0
15245	12107	2	99.997	0	99.997	99.997	99.997
10749	12870	0	0	0	0	0	0
15104	14884	10	0	0	0	0	0
19746	14878	12	100	0	100	100	100
15246	12612	2	100	0	100	100	100
14812	13874	6	100	0	100	100	100
13223	18673	4	0	100	0	100	100
19896	18159	1	0.002	99.998	0.002	100	100
17132	12357	11	100	0	100	100	100
20041	17907	1	0	100	0	100	100
22941	16893	1	0	100	0	100	100
22364	19418	1	0	0	0	0	0
9006	11358	4	0	100	0	100	100
19167	15383	12	100	0	100	100	100
23228	14368	9	0.002	0.026	0.002	0.026	0.026
14383	18167	0	0	99.805	0	99.805	99.805
9002	8833	4	0	100	0	100	100
23663	14115	9	0.198	46.932	0.198	47.118	47.131
14235	15895	10	100	0	100	100	100
10891	10598	0	0	0.006	0	0.006	0.006
13800	16653	5	0	0	0	0	0
21053	15633	9	20.645	15.76	20.644	20.66	20.66
19753	19927	1	0	99.998	0	99.998	99.998
13797	14128	6	0	0	0	0	0
19602	15635	9	100	0	100	100	100
15104	15389	10	100	0	100	100	100
22792	13612	9	0.006	0.005	0.006	0.006	0.006
16985	11095	2	97.051	0	97.051	99.905	91.343
12495	16907	8	0	100	0	100	100
20328	15887	9	0	0	0	0	0
21198	15381	9	0	0	0	0	0
15096	9330	7	100	0	100	100	100
15392	13369	12	100	0	100	100	100
12497	18422	4	0	100	0	100	100
14231	13370	6	100	0	100	100	100
15688	17912	5	0	99.951	0	99.951	99.951
19740	9829	2	0.024	0	0.024	0.024	0.024
15251	16651	10	99.225	0.775	99.225	100	100
12921	9585	3	98.463	0.512	98.463	98.975	98.973
20618	15886	9	3.031	0	3.031	3.031	3.031
19890	13615	13	100	0	100	100	100
23372	13611	15	0	0	11.111	11.111	0
22212	14117	9	0.007	0.414	0	0.415	0.415
12351	17664	4	0	100	0	100	100
16411	16144	10	88.966	11.034	88.966	100	11.724
14229	11351	3	5.125	2.56	5.125	7.685	7.685
16851	19426	8	0	100	0	100	100
22791	13107	15	0	0	5.882	5.882	0
18591	18918	5	0	100	0	100	100
18299	17404	10	0	100	0	100	100
10308	9084	0	0	0	0	0	0
21489	16390	1	0.001	0	0.001	0.001	0.001
12926	14129	6	0	0	0	0	0
13210	9080	3	100	0	100	100	100
9003	9338	4	0	100	0	100	100
16993	17153	10	0	100	0	100	100
18147	12103	11	100	0	100	100	100
19160	10335	2	0	0	0	0	0
17421	11851	2	100	0	100	100	100
22209	12098	7	100	0	100	100	100
9585	10347	8	0	100	0	100	100
20914	19925	1	0	11.111	0	11.111	11.111
16694	10590	2	98.461	0	98.461	98.462	98.462
18000	10841	2	2.435	0	2.435	21.918	2.435
19310	14121	13	100	0	100	100	100
14675	19681	4	0	100	0	100	100
23223	10834	7	0	0	0	0	0
17999	9831	2	100	0	100	100	100
12633	11605	3	0.003	99.997	0.003	100	100
11902	7315	0	0	20	0	20	20
17281	15638	12	100	0	100	100	100
19462	18917	1	0	0	0	0	0
15389	10844	2	20.014	0	20.014	20.014	0.02
13646	9332	3	100	0	100	100	100
13364	15896	5	0	99.998	0	99.998	99.998
10172	15900	4	0	100	0	100	100
14383	18672	8	0	100	0	100	100
11765	13626	0	0	0	0	0	0
12205	17412	4	0	100	0	100	100
16556	15892	10	0	99.999	0	100	99.999
23665	15630	9	0	99.951	0	99.951	99.951
20035	13363	13	100	0	100	100	100
10608	16657	4	0	100	0	100	100
13940	12361	6	100	0	100	100	100
12482	7314	0	0	100	0	100	100
20334	20431	14	0	100	0	100	100
11762	11606	3	99.976	0.122	99.976	100	100
9294	9843	8	0	100	0	100	100
12049	8577	6	100	0	100	100	100
13947	17915	0	0	100	0	100	100
13513	19178	4	0	100	0	100	100
18727	11597	11	100	0	100	100	0.012
8859	10601	4	0	100	0	100	100
13211	10090	3	33.413	66.566	33.413	99.98	99.98
12639	16149	0	0	3.03	0	3.03	3.03
18877	15889	12	100	0	100	100	100
16841	11852	2	99.225	0	99.225	99.225	99.225
14960	15641	10	0	100	0	100	100
17855	11094	2	100	0	100	100	100
14517	10341	16	0	0	0	0	0
21640	20177	1	0	99.902	0	99.902	99.902
11039	13375	0	0	33.333	0	33.333	33.333
18581	11345	11	100	0	100	100	100
14092	18167	0	0	100	0	100	100
21052	14624	9	98.547	65.675	98.547	99.636	99.636
12631	10091	3	0.098	99.902	0.098	100	100
15834	18165	5	0	0.195	0	0.195	0.195
20178	12100	7	100	0	100	100	100
9736	15143	4	0	100	0	100	100
17577	19677	5	0	100	0	100	100
8573	13125	15	0	0	100	100	0
21201	17400	1	0	0	0	0	0
15106	16903	5	0.198	0.006	0.198	0.201	0.201
12781	13877	6	100	0	100	100	100
19169	16898	10	0	100	0	100	100
12351	18169	4	0	100	0	100	100
12922	10595	3	99.225	0	99.225	99.225	99.225
12494	15897	0	0	100	0	100	100
22942	17903	1	0	100	0	100	100
14381	16652	5	0	100	0	100	100
23083	14621	9	0	0	0	0	0
17859	13618	11	100	0	100	100	100
19899	20179	1	0	100	0	100	100
23231	16893	1	0	100	0	100	100
13940	12866	6	100	0	100	100	100
10315	14133	8	0	100	0	100	100
22503	15127	9	39.989	19.991	39.989	59.979	59.98
13644	8322	3	100	1.538	100	100	100
18437	12103	11	100	0	100	100	100
12053	11606	3	11.111	11.111	11.111	100	11.111
14092	17662	0	0	100	0	100	100
11909	12364	6	100	0	100	100	100
18580	10840	2	100	0	100	100	100
22351	9825	15	98.686	0.021	98.684	98.685	98.66
21200	16895	1	0	0	0	0	0
10450	6307	14	0	100	0	100	100
17284	18163	5	0	0	0	0	0
11332	14889	0	0	100	0	100	100
14518	10846	3	99.951	0	99.951	99.951	99.951
22216	17147	1	0.049	0.073	0.049	0.073	0.073
18444	17656	10	0	100	0	100	100
16984	10590	2	0.024	0	0.024	0.024	0.024
15250	15641	10	99.226	0.774	99.226	100	100
15101	12864	2	100	0	100	100	100
13211	9585	3	100	0	100	100	96.97
9590	14386	4	0	100	0	100	100
19740	10334	2	100	0	100	100	100
16410	15135	6	100	0	100	100	100
13075	16401	0	0	96.97	0	96.97	96.97
15683	13873	12	100	0	100	100	80
11906	10344	3	99.997	1.538	99.997	100	100
17710	10841	2	99.999	0	99.999	100	99.999
8426	11863	14	0	100	0	100	100
12484	8324	6	100	0	100	100	100
12055	13626	0	100	0	100	100	100
13804	19177	4	0	100	0	100	100
21483	11846	7	0	0	0	0	0
16994	18163	5	0	0.012	0	0.012	0.012
12778	11353	3	0.003	99.997	0.003	100	100
10457	11861	0	0	33.333	0	33.333	33.333
19745	13868	13	100	0	100	100	100
23368	10581	7	0	0	0	0	0
9880	14386	4	0	100	0	100	100
22068	15380	9	8.527	31.263	0.95	31.265	31.265
18302	19424	5	99.756	99.805	99.756	99.805	99.805
12928	15644	0	0	20	0	20	20
11476	14636	0	0	100	0	100	100
17141	19425	5	0	100	0	100	100
20613	11847	7	100	0	100	100	100
21342	14623	9	99.54	99.723	99.54	99.929	99.929
19165	14374	13	100	0	100	100	100
20768	19168	1	0	100	0	100	100
19897	19169	1	0	100	0	100	100
16838	9833	2	100	0	100	100	100
18883	19928	1	0	100	0	100	100
21347	18662	1	0	100	0	100	100
13362	14381	6	0	0	0	0	0
11037	11860	0	0	100	0	100	100
9294	10347	8	0	100	0	100	100
11619	12869	0	0	100	0	100	100
15973	13873	12	100	0	100	100	100
16403	10086	2	100	0	100	100	100
22793	14621	9	0.21	0.144	0.208	1.08	1.092
22933	10834	7	0	0	0	0	0
20766	18158	1	0	100	0	100	100
13657	17915	8	0	100	0	100	100
17279	14124	11	100	0	100	100	100
20909	16391	9	0	0	0	0	0
9735	14639	4	0	100	0	100	100
21773	11341	7	0	0	0	0	0
22651	17398	1	0	99.591	0	99.591	99.591
9152	12620	4	0	100	0	100	100
22940	16388	9	19.753	79.003	19.753	98.753	98.753
18150	14627	12	100	0	100	100	100
15108	18418	0	0	99.994	0	99.994	99.994
11480	17666	4	0	100	0	100	100
11469	9082	6	100	0	100	100	100
12192	7314	0	0	100	0	100	100
13646	9837	3	96.907	3.028	96.907	99.938	99.935
23665	16135	9	0	100	0	100	100
17999	10336	2	100	0	100	100	100
11190	17666	14	0	100	0	100	100
18146	11598	2	98.456	0	98.456	98.456	98.456
23659	11086	7	100	0	100	100	100
11760	10092	3	100	100	100	100	100
23514	11339	7	99.27	0.73	99.27	100	94.16
13936	9332	3	34.849	3.826	34.849	99.759	38.667
23079	11592	7	100	0	100	100	100
13658	18420	8	0	100	0	100	100
16986	11600	2	100	0	100	100	100
18443	16647	10	100	0	100	100	100
19744	12858	11	100	0	100	100	100
18154	17152	10	100	0	100	100	0
13361	13876	6	0	0	0	0	0
13942	14381	6	0	0	0	0	0
23225	12349	7	100	0	100	100	1.538
15825	11601	2	100	0	100	100	100
19021	14626	12	100	0	100	100	100
9873	8832	0	0	0	0	0	0
17286	19678	8	0	100	0	100	100
12057	14635	0	0	0	0	0	0
12779	12362	3	0	100	0	100	100
15103	14379	6	100	0	100	100	100
15680	11854	2	50	0	50	50	50
15388	10339	3	99.951	0	99.951	99.951	99.951
10748	12365	0	0	96.97	0	96.97	96.97
22653	18408	1	0	100	0	100	100
10015	7065	0	0	99.902	0	99.902	99.902
21635	16642	1	0	0	0	0	0
13504	12109	3	0	0	0	0	0
12640	17159	8	0	100	0	100	100
16114	10591	2	94.117	0.001	94.117	94.118	94.118
22365	19923	1	0	99.611	0	99.611	99.611
16560	18921	5	0	99.877	0	99.877	99.877
15835	19175	8	0	100	0	100	100
16561	19931	8	0	100	0	100	100
11472	11102	3	100	0	100	100	100
10891	11103	0	0	100	0	100	100
14959	15137	10	100	0	100	100	100
16268	17407	10	0.003	99.997	0.003	100	100
15534	11097	2	0	0	0	0	0
23667	17650	1	0	100	0	100	100
17128	9327	2	99.991	0	99.991	99.991	99.991
11183	12617	0	0	0	0	0	0
20610	9828	13	100	0	100	100	100
18590	17909	10	0	100	0	100	100
9440	10600	8	0	100	0	100	100
21627	10584	7	100	0	100	100	100
10455	10346	0	0	0.049	0	0.049	0.049
20477	18664	5	0.122	1.958	0.122	2.081	2.081
11332	15394	8	0	100	0	100	100
23082	13611	9	0	0	99.224	99.224	0
21771	9826	7	0.007	0	0.007	0.007	0.007
14529	18924	8	0	100	0	100	100
10887	7568	0	66.067	1.028	66.067	67.095	67.095
22944	19418	1	0	0.002	0	0.002	0.002
20177	11595	2	100	0	100	100	100
14085	12108	3	0	0	0	0	0
11328	11860	0	100	0	100	100	100
21630	12603	13	100	0	100	100	100
21637	18157	1	0	100	0	100	100
10603	12618	0	0	0.389	0	0.389	0.389
18879	16898	10	0	100	0	100	100
23525	19417	1	0	100	0	100	100
13794	12109	3	0	0	0	0	0
11335	17413	4	0	100	0	100	100
18294	13870	11	100	0	100	100	100
20906	14371	13	100	0	100	100	100
8280	11106	15	0	0	100	100	0
21340	13109	13	100	0	100	100	100
20617	14877	9	99.998	0.05	99.998	100	99.998
20182	15130	12	100	0	100	100	100
10890	10093	0	0	0	0	0	0
18152	16142	12	100	0	100	100	100
18156	19171	5	0	100	0	100	100
18297	15889	12	100	0	100	100	100
12048	8072	0	100	0	100	100	100
21195	13361	13	100	0	100	100	100
22790	12097	7	100	0	100	100	100
10753	15899	4	0	100	0	100	100
8857	9086	4	0	100	0	100	100
11179	9083	0	99.902	0.098	99.902	99.999	99.999
11043	16404	4	0	100	0	100	100
16699	14629	12	100	0	100	100	100
11764	12616	6	100	0	100	100	100
14083	11099	16	0	0	0	0	0
